prompts
Create art (or write a comment) for your favorite fic
Create art (or write a comment) for a fic you've reread
Create art (or write a comment) for a fic that's five or more years old
Create art (or write a comment) for a fic posted within the past year
Create art (or write a comment) for a WIP
Create art (or write a comment) for a fic in your first fandom
Create art (or write a comment) for a fic with fewer than 25 kudos
Create art (or write a comment) for a fic with fewer than 10 bookmarks
Create art (or write a comment) for a fic with no comments
Create art (or write a comment) for a fic in a fandom with fewer than 10000 works
Create art (or write a comment) for a fic posted on (or near) your birthday
Create art (or write a comment) for a fic you've left kudos on
Create art (or write a comment) for an AU fic
Create art (or write a comment) for a fic you've been recommended
Create art (or write a comment) for a fic with fewer than 1000 hits
Create art for (or write a comment that references) the last scene of a fic
Create art for (or write a comment that references) the last scene of a fic
Create art for (or write a comment that references) a secondary pairing in a fic
Create art (or write a comment) for a fic that features your second favorite pairing in a fandom
Create art (or write a comment) for a fic about a rarepair
Create a meme/set of memes for any fic
Create a playlist for any fic
Create a moodboard for any fic
Create a digital collage for any fic
Create a book cover in any medium for any fic
Create a poster in any medium for any fic
Create a scrapbook page for any fic
Design a bookmark for any fic
Create something with baking soda clay (or any other kind of clay) for any fic
Create art for any fic using primarily one color
Describe/Make a tea blend for any fic
Make a gifset for any fic
Create digital art (any form) for any fic
Create physical art (any medium) for any fic
Create something in a medium you’ve never tried for any fic
Make a mini zine inspired by any fic
Create something edible inspired by any fic
Create something for any fic using only two colors
Record a podfic of any fic
